rownames,project_id,date,type
359,98,2013-12-31 ,8
360,99,2013-01-01 ,1
361,99,2016-12-31 ,8
362,100,2013-01-01 ,1
363,100,2015-12-31 ,8
364,101,2013-01-01 ,1
365,101,2015-12-31 ,8
366,102,2013-01-01 ,1
367,102,2014-12-31 ,8
368,103,2013-01-01 ,1
369,103,2015-12-31 ,8
370,104,2013-01-01 ,1
371,104,2016-12-31 ,8
372,105,2013-01-01 ,1
373,105,2013-12-31 ,8
374,106,2013-01-01 ,1
375,106,2015-12-31 ,8
376,107,2013-01-01 ,1
377,107,2015-12-31 ,8
378,108,2013-01-01 ,1
379,108,2014-12-31 ,8
380,109,2013-01-01 ,1
381,109,2013-12-31 ,8
382,110,2013-01-01 ,1
383,110,2013-12-31 ,8
384,111,2013-01-01 ,1
385,111,2013-12-31 ,8
386,112,2013-01-01 ,1
387,112,2015-12-31 ,8
388,113,2013-01-01 ,1
389,113,2014-12-31 ,8
390,114,2013-01-01 ,1
391,114,2014-12-31 ,8
392,115,2013-01-01 ,1
393,115,2013-01-01 ,2
394,115,2010-12-16 ,4
395,115,2017-12-31 ,8
396,115,2012-04-12 ,16
397,115,2014-12-01 ,32
398,115,2011-06-08 ,128
399,115,2017-03-01 ,256
400,115,2017-03-01 ,512
401,116,2013-01-01 ,1
402,116,2013-12-31 ,8
403,117,2013-01-01 ,1
404,117,2013-12-31 ,8
405,118,2013-01-01 ,1
406,118,2015-01-01 ,2
407,118,2011-11-05 ,4
408,118,2018-12-31 ,8
409,118,2014-04-01 ,16
410,118,2017-02-01 ,32
411,118,2013-01-18 ,64
412,118,2012-09-15 ,128
413,118,2017-05-01 ,256
414,118,2019-01-04 ,2048
415,119,2013-01-01 ,1
416,119,,2
417,119,2015-12-31 ,8
418,119,,16
419,119,,32
420,119,,64
421,119,,2048
422,120,2013-01-01 ,1
423,120,,2
424,120,2014-12-31 ,8
425,120,,16
426,120,,32
427,120,,64
428,120,,2048
429,121,2013-01-01 ,1
430,121,2016-01-31 ,8
431,122,2013-01-01 ,1
432,122,2014-12-31 ,8
433,123,2013-01-01 ,1
434,123,2018-12-31 ,8
435,123,2019-01-04 ,2048
436,124,2013-01-01 ,1
437,124,2015-12-31 ,8
438,125,2013-01-01 ,1
439,125,2013-12-31 ,8
440,126,2013-01-01 ,1
441,126,2013-12-31 ,8
442,127,2013-01-01 ,1
443,127,2013-12-31 ,8
444,128,2013-01-01 ,1
445,128,2013-12-31 ,8
446,129,2013-01-01 ,1
447,129,2013-12-31 ,8
448,130,2013-01-01 ,1
449,130,2013-01-01 ,2
450,130,2019-12-31 ,8
451,130,2014-06-04 ,16
452,130,2013-07-05 ,64
453,130,2013-05-15 ,128
454,130,2016-01-05 ,256
455,130,2020-03-03 ,2048
456,131,2013-01-01 ,1
457,131,2014-12-31 ,8
458,132,2013-01-01 ,1
459,132,2015-12-31 ,8
460,133,2013-01-01 ,1
461,133,2013-12-31 ,8
462,134,2013-01-01 ,1
463,134,2013-12-31 ,8
464,135,2013-01-01 ,1
465,135,2015-12-31 ,8
466,136,2013-01-01 ,1
467,136,2013-03-01 ,2
468,136,2018-12-31 ,8
469,136,2014-08-04 ,16
470,136,2016-08-18 ,32
471,136,2013-01-01 ,64
472,136,2013-01-20 ,128
473,136,2016-03-21 ,256
474,136,2016-03-21 ,512
475,136,2019-01-04 ,2048
476,137,2013-01-01 ,1
477,137,2014-12-31 ,8
478,138,2013-01-01 ,1
479,138,,2
480,138,2014-12-31 ,8
481,138,,16
482,138,,32
483,138,,64
484,138,,2048
485,139,2013-01-01 ,1
486,139,2013-12-31 ,8
487,140,2013-01-01 ,1
488,140,2013-12-31 ,8
489,141,2013-01-01 ,1
490,141,2014-12-31 ,8
491,142,2013-01-01 ,1
492,142,,2
493,142,2015-12-31 ,8
494,142,,16
495,142,,32
496,142,,64
497,142,,2048
498,143,2013-01-01 ,1
499,143,2016-01-31 ,8
500,144,2013-01-01 ,1
501,144,2015-12-31 ,8
502,145,2013-01-01 ,1
503,145,2014-12-31 ,8
504,146,2013-01-01 ,1
505,146,2013-12-31 ,8
506,147,2013-01-01 ,1
507,147,2014-12-31 ,8
508,148,2013-01-01 ,1
509,148,2014-12-31 ,8
510,149,2013-01-01 ,1
511,149,2014-12-31 ,8
512,150,2013-01-01 ,1
513,150,2013-12-31 ,8
514,151,2013-01-01 ,1
515,151,2013-12-31 ,8
516,152,2013-01-01 ,1
517,152,2014-12-31 ,8
518,153,2013-01-01 ,1
519,153,2014-12-31 ,8
520,154,2013-01-01 ,1
521,154,2013-12-31 ,8
522,155,2013-01-01 ,1
523,155,2014-12-31 ,8
524,156,2013-01-01 ,1
525,156,2016-12-31 ,8
526,157,2013-01-01 ,1
527,157,2013-12-31 ,8
528,158,2013-01-01 ,1
529,158,,2
530,158,2014-12-31 ,8
531,158,,16
532,158,,32
533,158,,64
534,158,,2048
535,159,2013-01-01 ,1
536,159,,2
537,159,2015-12-31 ,8
538,159,,16
539,159,,32
540,159,,64
541,159,,2048
542,160,2013-01-01 ,1
543,160,2014-12-31 ,8
544,161,2013-01-01 ,1
545,161,,2
546,161,2014-12-31 ,8
547,161,,16
548,161,,32
549,161,,64
550,161,,2048
551,162,2013-01-01 ,1
552,162,,2
553,162,2013-12-31 ,8
554,162,,16
555,162,,32
556,162,,64
557,162,,2048
558,163,2013-01-01 ,1
559,163,2013-12-31 ,8
560,164,2013-01-01 ,1
561,164,2013-12-31 ,8
562,165,2013-01-01 ,1
563,165,,2
564,165,2014-12-31 ,8
565,165,,16
566,165,,32
567,165,,64
568,165,,2048
569,166,2013-01-01 ,1
570,166,2013-12-31 ,8
571,167,2013-01-01 ,1
572,167,2014-12-31 ,8
573,168,2013-01-01 ,1
574,168,2014-12-31 ,8
575,169,2013-01-01 ,1
576,169,2013-01-01 ,2
577,169,2017-12-31 ,8
578,169,2014-11-15 ,16
579,169,2015-12-22 ,32
580,169,2013-06-13 ,128
581,169,2016-06-07 ,256
582,169,2016-12-02 ,512
583,170,2013-01-01 ,1
584,170,2013-01-01 ,2
585,170,2018-12-31 ,8
586,170,2013-05-01 ,64
587,170,2019-01-04 ,2048
588,171,2013-01-01 ,1
589,171,,2
590,171,2015-12-31 ,8
591,171,,16
592,171,,32
593,171,,64
594,171,,2048
595,172,2013-01-01 ,1
596,172,2013-01-01 ,2
597,172,2013-12-31 ,8
598,172,,16
599,172,,32
600,172,,64
601,172,2013-12-01 ,2048
602,173,2013-01-01 ,1
603,173,,2
604,173,2015-12-31 ,8
605,173,,16
606,173,,32
607,173,,64
608,173,,2048
609,174,2013-01-01 ,1
610,174,2014-12-31 ,8
611,175,2013-01-01 ,1
612,175,2013-12-31 ,8
613,176,2013-01-01 ,1
614,176,2014-12-31 ,8
615,177,2013-01-01 ,1
616,177,2013-12-31 ,8
617,178,2013-01-01 ,1
618,178,2014-12-31 ,8
619,179,2013-01-01 ,1
620,179,2013-12-31 ,8
621,180,2013-01-01 ,1
622,180,2016-12-31 ,8
623,181,2013-01-01 ,1
624,181,2013-12-31 ,8
625,182,2013-01-01 ,1
626,182,2013-12-31 ,8
627,183,2013-01-01 ,1
628,183,2014-12-31 ,8
629,184,2013-01-01 ,1
630,184,2014-12-31 ,8
631,185,2013-01-01 ,1
632,185,2014-12-31 ,8
633,186,2013-01-01 ,1
634,186,2014-12-31 ,8
635,187,2013-01-01 ,1
636,187,2013-12-31 ,8
637,188,2013-01-01 ,1
638,188,,2
639,188,2015-12-31 ,8
640,188,,16
641,188,,32
642,188,,64
643,188,,2048
644,189,2013-01-01 ,1
645,189,2016-12-31 ,8
646,191,2013-01-01 ,1
647,191,2018-12-01 ,8
648,191,2019-01-04 ,2048
649,192,2013-01-01 ,1
650,192,2013-12-31 ,8
651,193,2013-01-01 ,1
652,193,2013-12-31 ,8
653,194,2013-01-01 ,1
654,194,2013-12-31 ,8
655,195,2013-01-01 ,1
656,195,2013-12-31 ,8
657,196,2013-01-01 ,1
658,196,2022-12-01 ,8
659,197,2013-01-01 ,1
660,197,2015-12-31 ,8
661,198,2013-01-01 ,1
662,198,2017-12-31 ,8
663,199,2013-01-01 ,1
664,199,2013-12-31 ,8
665,200,2013-01-01 ,1
666,200,2015-12-31 ,8
667,201,2013-01-01 ,1
668,201,2013-12-31 ,8
669,202,2013-01-01 ,1
670,202,2013-12-31 ,8
671,203,2013-01-01 ,1
672,203,2013-12-31 ,8
673,204,2013-01-01 ,1
674,204,2013-12-31 ,8
675,205,2013-01-01 ,1
676,205,2013-12-31 ,8
677,206,2013-01-01 ,1
678,206,2013-12-31 ,8
679,207,2013-01-01 ,1
680,207,2013-12-31 ,8
681,208,2013-01-01 ,1
682,208,2021-12-01 ,8
683,209,2014-01-01 ,1
684,209,,2
685,209,2021-12-01 ,8
686,209,,16
687,209,,32
688,209,,64
689,209,,2048
690,210,2013-01-01 ,1
691,210,2014-12-31 ,8
692,211,2013-01-01 ,1
693,211,2021-12-01 ,8
694,212,2013-01-01 ,1
695,212,2013-12-31 ,8
696,213,2013-01-01 ,1
697,213,,2
698,213,2015-12-31 ,8
699,213,,16
700,213,,32
701,213,,64
702,213,,2048
703,214,2013-01-01 ,1
704,214,,2
705,214,2014-12-31 ,8
706,214,,16
707,214,,32
708,214,,64
709,214,,2048
710,215,2013-01-01 ,1
711,215,,2
712,215,2014-12-31 ,8
713,215,,16
714,215,,32
715,215,,64
716,215,,2048
717,216,2013-01-01 ,1
718,216,2018-07-31 ,8
719,217,2013-01-01 ,1
720,217,,2
721,217,2014-12-31 ,8
722,217,,16
723,217,,32
724,217,,64
725,217,,2048
726,218,2013-01-01 ,1
727,218,,2
728,218,2013-12-31 ,8
729,218,,16
730,218,,32
731,218,,64
732,218,,2048
733,219,2013-01-01 ,1
734,219,2013-12-31 ,8
735,220,2013-01-01 ,1
