rownames,macro_budget_id,year,amount,comment,project_id,accounting_amount
1328,34490037,2020,0,,780,0
1329,34490038,2019,0,,780,0
1330,34490039,2020,0,,781,0
1331,34490040,2019,0,,781,0
1332,34490041,2017,0,,781,0
1333,34490042,2018,3903.27,,781,3903.27
1334,34490043,2018,4171.93,,790,4171.93
1335,34490044,2017,11750.6,,790,11750.6
1336,34490045,2019,162.13,,790,162.13
1337,34490070,2018,2651.3,,825,2651.3
1338,34490071,2019,-1372.68,,825,-1372.68
1339,34490089,2020,0,,847,0
1340,34490090,2017,3067.22,,847,3067.22
1341,34490091,2018,11492.33,,847,11492.33
1342,34490104,2019,0,,859,0
1343,34490105,2018,0,,859,0
1344,34490141,2019,0,,877,0
1345,34490142,2018,203,,877,203
1346,34490165,2019,0,,894,0
1347,34490166,2020,0,,894,0
1348,34490167,2018,60,,894,60
1349,34490198,2020,0,,985,0
1350,34490199,2019,0,,985,0
1351,34490200,2019,0,,989,0
1352,34490201,2020,0,,989,0
1353,34490202,2018,0,,989,0
1354,34490203,2019,1094.95,,991,1094.95
1355,34490213,2020,0,,998,0
1356,34490214,2019,0,,998,0
1357,34490231,2019,35973.15,,1019,35973.15
1358,34490232,2020,46632.46,,1019,46632.46
1359,34490233,2019,0,,1021,0
1360,34490234,2019,0,,1023,0
1361,34490238,2019,4920.66,,1025,4920.66
1362,34490242,2019,16559.42,,1033,16559.42
1363,34490243,2020,13654.78,,1033,13654.78
1364,34490246,2020,0,,1037,0
1365,34490247,2019,-0.3,,1037,-0.3
1366,34490248,2019,15842.63,,1045,15842.63
1367,34490249,2020,3309.22,,1047,3309.22
1368,34490250,2019,138,,1047,138
1369,34490253,2020,12285.76,,1050,12285.76
1370,34490254,2019,71500.09,,1050,71500.09
1371,34490255,2020,0,,1055,0
1372,34490256,2019,0,,1055,0
1373,34490267,2020,0,,1064,0
1374,34490268,2019,0,,1064,0
1375,34490272,2019,9862.8,,1068,9862.8
1376,34490276,2020,2949.11,,1072,2949.11
