rownames,session_id,collaborator_id,event_id,event_start_date,event_type,SalaireMois,ETP01,ETP02,ETP03,ETP04,ETP05,ETP06,ETP07,ETP08,ETP09,ETP10,ETP11,ETP12,ETP,Salaire13,PrimePrecarite,CongesCDD,ChargesSocialesPourcent,CoutTotalAnnuel,user_comments,comments,credte,upduser_id,PrecariteActive
520,18,34,0,2016-01-01,DefaultPeriod,4309.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2015-12-08 ,60,0
521,18,47,0,2016-01-01,DefaultPeriod,4037.87,1,1,1,1,1,1,1,1,1,1,1,1,1,4058.06,0,0,0.608,84829.67,,,2015-12-08 ,60,0
522,18,51,,2016-01-01,,,,,,,,,,,,,,,,,,,,,,deleted,2015-12-08 ,60,
523,18,64,,2016-01-01,,,,,,,,,,,,,,,,,,,,,,deleted,2015-12-08 ,60,
524,18,64,,2016-04-01,,,,,,,,,,,,,,,,,,,,,,deleted,2015-12-08 ,60,
525,18,1,0,2016-01-01,DefaultPeriod,3204,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.35,51904.8,,,2015-12-08 ,60,0
526,18,7,0,2016-01-01,DefaultPeriod,7550,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.16,105096,taux de CS et salaire budgétés and ND ocg,,2015-12-08 ,60,0
527,18,12,0,2016-01-01,DefaultPeriod,6609.23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.5,118966.14,,,2015-12-08 ,60,0
528,18,25,0,2016-01-01,DefaultPeriod,6240.5,1,1,1,1,1,1,1,1,1,1,1,1,1,6240.5,0,0,0,81126.5,CS et salaire refacturé ensemble,,2015-12-08 ,60,0
529,18,37,0,2016-01-01,DefaultPeriod,7550,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.16,105096,taux de CS et salaire budgétés and ND ocg,,2015-12-08 ,60,0
530,18,59,0,2016-01-01,DefaultPeriod,7314,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9508.2,11838.76,0.16,126573.35,taux de CS et salaire budgétés and ND ocg,,2015-12-08 ,60,1
531,18,2,0,2016-01-01,DefaultPeriod,3881.08,0.25,0.25,0.25,0.25,0.25,1,1,1,1,1,1,1,0.69,2687.65,3493.94,4350.34,0.608,68796.19,,,2015-12-09 ,60,1
532,18,50,0,2016-01-01,DefaultPeriod,3756,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3443,4475.9,5572.99,0.56,85500.31,salaire sur 12 mois,,2015-12-09 ,60,1
533,18,75,0,2016-01-04,DefaultPeriod,2565.72,1,1,0,0,0,0,1,0,0,1,1,0,0.42,1075.46,1398.1,1740.79,0.608,27528.83,,,2015-12-09 ,60,1
534,20,1,0,2016-01-01,DefaultPeriod,3204,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.35,51904.8,ok,,2016-04-11 ,60,0
535,20,2,0,2016-01-01,DefaultPeriod,3881.08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1950.24,2535.32,3156.75,0.608,49920.71,,,2016-04-11 ,60,1
536,20,3,0,2016-01-01,DefaultPeriod,4224.92,1,1,1,1,1,1,1,1,1,1,1,1,1,4246.05,0,0,0.608,88759.33,,,2016-04-11 ,60,0
537,20,4,0,2016-01-01,DefaultPeriod,4687.99,1,1,1,1,1,1,1,1,1,1,1,1,1,4711.43,0,0,0.608,98487.73,,,2016-04-11 ,60,0
538,20,7,0,2016-01-01,DefaultPeriod,6531,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,126022.18,,,2016-04-11 ,60,0
539,20,9,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,,,2016-04-11 ,60,0
540,20,11,0,2016-01-01,DefaultPeriod,4596.07,1,1,1,1,1,1,1,1,1,1,1,1,1,4619.05,0,0,0.608,96556.62,,,2016-04-11 ,60,0
541,20,12,0,2016-01-01,DefaultPeriod,6609.23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,127531.7,,,2016-04-11 ,60,0
542,20,16,0,2016-01-01,DefaultPeriod,2943.92,1,1,1,1,1,1,1,1,1,1,1,1,1,2958.64,0,0,0.608,61847.41,,,2016-04-11 ,60,0
543,20,17,0,2016-01-01,DefaultPeriod,4309.42,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3968.26,0,0,0.608,82952.46,,,2016-04-11 ,60,0
544,20,18,0,2016-01-01,DefaultPeriod,4781.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4805.66,0,0,0.608,100457.48,ok,,2016-04-11 ,60,0
545,20,20,0,2016-01-01,DefaultPeriod,4037.87,1,1,1,1,1,1,1,1,1,1,1,1,1,4058.06,0,0,0.608,84829.67,,,2016-04-11 ,60,0
546,20,21,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,,,2016-04-11 ,60,0
547,20,22,0,2016-01-01,DefaultPeriod,4395.61,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,3534.07,0,0,0.608,73876.22,,,2016-04-11 ,60,0
548,20,23,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,,,2016-04-11 ,60,0
