rownames,project_id,date,type
392,113,2014-12-31 ,8
393,114,2013-01-01 ,1
394,114,2014-12-31 ,8
395,115,2013-01-01 ,1
396,115,2013-01-01 ,2
397,115,2010-12-16 ,4
398,115,2017-12-31 ,8
399,115,2012-04-12 ,16
400,115,2014-12-01 ,32
401,115,2011-06-08 ,128
402,115,2017-03-01 ,256
403,115,2017-03-01 ,512
404,116,2013-01-01 ,1
405,116,2013-12-31 ,8
406,117,2013-01-01 ,1
407,117,2013-12-31 ,8
408,118,2013-01-01 ,1
409,118,2015-01-01 ,2
410,118,2011-11-05 ,4
411,118,2018-12-31 ,8
412,118,2014-04-01 ,16
413,118,2017-02-01 ,32
414,118,2013-01-18 ,64
415,118,2012-09-15 ,128
416,118,2017-05-01 ,256
417,118,2019-01-04 ,2048
418,119,2013-01-01 ,1
419,119,,2
420,119,2015-12-31 ,8
421,119,,16
422,119,,32
423,119,,64
424,119,,2048
425,120,2013-01-01 ,1
426,120,,2
427,120,2014-12-31 ,8
428,120,,16
429,120,,32
430,120,,64
431,120,,2048
432,121,2013-01-01 ,1
433,121,2016-01-31 ,8
434,122,2013-01-01 ,1
435,122,2014-12-31 ,8
436,123,2013-01-01 ,1
437,123,2018-12-31 ,8
438,123,2019-01-04 ,2048
439,124,2013-01-01 ,1
440,124,2015-12-31 ,8
441,125,2013-01-01 ,1
442,125,2013-12-31 ,8
443,126,2013-01-01 ,1
444,126,2013-12-31 ,8
445,127,2013-01-01 ,1
446,127,2013-12-31 ,8
447,128,2013-01-01 ,1
448,128,2013-12-31 ,8
449,129,2013-01-01 ,1
450,129,2013-12-31 ,8
451,130,2013-01-01 ,1
452,130,2013-01-01 ,2
453,130,2019-12-31 ,8
454,130,2014-06-04 ,16
455,130,2013-07-05 ,64
456,130,2013-05-15 ,128
457,130,2016-01-05 ,256
458,130,2020-03-03 ,2048
459,131,2013-01-01 ,1
460,131,2014-12-31 ,8
461,132,2013-01-01 ,1
462,132,2015-12-31 ,8
463,133,2013-01-01 ,1
464,133,2013-12-31 ,8
465,134,2013-01-01 ,1
466,134,2013-12-31 ,8
467,135,2013-01-01 ,1
468,135,2015-12-31 ,8
469,136,2013-01-01 ,1
470,136,2013-03-01 ,2
471,136,2018-12-31 ,8
472,136,2014-08-04 ,16
473,136,2016-08-18 ,32
474,136,2013-01-01 ,64
475,136,2013-01-20 ,128
476,136,2016-03-21 ,256
477,136,2016-03-21 ,512
478,136,2019-01-04 ,2048
479,137,2013-01-01 ,1
480,137,2014-12-31 ,8
481,138,2013-01-01 ,1
482,138,,2
483,138,2014-12-31 ,8
484,138,,16
485,138,,32
486,138,,64
487,138,,2048
488,139,2013-01-01 ,1
489,139,2013-12-31 ,8
490,140,2013-01-01 ,1
491,140,2013-12-31 ,8
492,141,2013-01-01 ,1
493,141,2014-12-31 ,8
494,142,2013-01-01 ,1
495,142,,2
496,142,2015-12-31 ,8
497,142,,16
498,142,,32
499,142,,64
500,142,,2048
501,143,2013-01-01 ,1
502,143,2016-01-31 ,8
503,144,2013-01-01 ,1
504,144,2015-12-31 ,8
505,145,2013-01-01 ,1
506,145,2014-12-31 ,8
507,146,2013-01-01 ,1
508,146,2013-12-31 ,8
509,147,2013-01-01 ,1
510,147,2014-12-31 ,8
511,148,2013-01-01 ,1
512,148,2014-12-31 ,8
513,149,2013-01-01 ,1
514,149,2014-12-31 ,8
515,150,2013-01-01 ,1
516,150,2013-12-31 ,8
517,151,2013-01-01 ,1
518,151,2013-12-31 ,8
519,152,2013-01-01 ,1
520,152,2014-12-31 ,8
521,153,2013-01-01 ,1
522,153,2014-12-31 ,8
523,154,2013-01-01 ,1
524,154,2013-12-31 ,8
525,155,2013-01-01 ,1
526,155,2014-12-31 ,8
527,156,2013-01-01 ,1
528,156,2016-12-31 ,8
529,157,2013-01-01 ,1
530,157,2013-12-31 ,8
531,158,2013-01-01 ,1
532,158,,2
533,158,2014-12-31 ,8
534,158,,16
535,158,,32
536,158,,64
537,158,,2048
538,159,2013-01-01 ,1
539,159,,2
540,159,2015-12-31 ,8
541,159,,16
542,159,,32
543,159,,64
544,159,,2048
545,160,2013-01-01 ,1
546,160,2014-12-31 ,8
547,161,2013-01-01 ,1
548,161,,2
549,161,2014-12-31 ,8
550,161,,16
551,161,,32
552,161,,64
553,161,,2048
554,162,2013-01-01 ,1
555,162,,2
556,162,2013-12-31 ,8
557,162,,16
558,162,,32
559,162,,64
560,162,,2048
561,163,2013-01-01 ,1
562,163,2013-12-31 ,8
563,164,2013-01-01 ,1
564,164,2013-12-31 ,8
565,165,2013-01-01 ,1
566,165,,2
567,165,2014-12-31 ,8
568,165,,16
569,165,,32
570,165,,64
571,165,,2048
572,166,2013-01-01 ,1
573,166,2013-12-31 ,8
574,167,2013-01-01 ,1
575,167,2014-12-31 ,8
576,168,2013-01-01 ,1
577,168,2014-12-31 ,8
578,169,2013-01-01 ,1
579,169,2013-01-01 ,2
580,169,2017-12-31 ,8
581,169,2014-11-15 ,16
