rownames,project_zone_id,country_id,region_id,place_id,project_id
853,3801,3,898,19,1025
854,3802,3,898,19,1119
855,3804,93,12,148,1068
856,3920,14,1470,136,1017
857,3981,22,1962,32,1055
858,4053,285,,,723
859,4162,5,2821,82,445
860,4182,10,,,482
861,4191,285,,,1129
862,4239,8,1886,162,1101
863,4241,1,538,,1097
864,4242,1,537,,1097
865,4243,1,536,,1097
866,4244,1,539,,1097
867,4245,1,540,,1097
868,4246,1,542,,1097
869,4247,1,544,,1097
870,4252,1,536,173,1169
871,4263,2,,,326
872,4270,10,2077,,1100
873,4271,10,2079,,1100
874,4272,10,2078,,1100
875,4273,10,2081,,1100
876,4274,10,2080,,1100
877,4275,10,2082,,1100
878,4276,10,2083,,1100
879,4277,10,2084,,1100
880,4280,3,,,508
881,4282,1,541,87,971
882,4283,285,,,976
883,4284,3,898,19,977
884,4285,13,3247,50,978
885,4286,3,898,151,979
886,4287,285,,,984
887,4288,285,,,985
888,4289,9,2950,63,1072
889,4290,13,3247,50,1079
890,4291,56,1233,161,1073
891,4292,3,898,19,1076
892,4293,3,898,151,1078
893,4294,94,2710,42,1077
894,4295,3,898,19,1080
895,4301,45,526,,583
896,4302,45,527,,583
897,4303,18,,,493
898,4304,21,,,493
899,4305,27,,,493
900,4306,89,,,493
901,4307,118,,,493
902,4309,13,3252,,987
903,4310,13,3240,,987
904,4313,13,3270,52,1033
905,4314,9,2950,63,1108
906,4315,181,1344,166,1114
907,4316,1,542,159,1088
908,4317,15,2003,30,1064
909,4318,3,898,19,1102
910,4321,20,3561,,1143
911,4322,20,3556,,1143
912,4323,285,,,594
913,4324,1,543,110,1019
914,4325,22,1965,33,1031
915,4326,1,543,110,1020
916,4327,1,543,11,1021
917,4328,11,220,167,1122
918,4329,11,220,167,1144
919,4331,12,2104,171,1145
920,4332,1,543,110,1023
921,4333,285,,,825
922,4334,213,2065,170,1098
923,4335,10,2078,34,998
924,4337,15,2003,30,595
925,4339,9,2950,63,1045
926,4340,9,2944,168,1120
927,4341,4,411,97,1107
928,4342,4,411,97,1154
929,4366,23,,,894
930,4369,1,541,87,1056
931,4374,22,1965,,1157
932,4375,22,1966,,1157
933,4385,3,898,19,1134
934,4386,10,,,1161
935,4387,3,,,1161
936,4410,13,3270,52,1171
937,4415,15,2020,163,1103
938,4468,5,2820,43,644
939,4485,12,,,748
940,4486,13,3270,52,883
941,4487,14,,,296
942,4488,15,,,296
943,4489,22,1962,32,361
944,4490,15,2003,30,777
945,4491,15,2003,30,780
946,4492,13,3234,49,781
947,4496,3,898,19,1206
948,4526,10,2080,35,1149
949,4544,9,2950,,1137
950,4549,27,,,1034
951,4550,118,,,1034
952,4551,89,,,1034
953,4552,18,,,1034
954,4553,21,,,1034
955,4564,10,2080,35,1096
956,4581,8,,,578
957,4582,1,,,578
958,4602,1,542,10,746
959,4614,4,417,,1082
960,4615,4,422,,1082
961,4617,93,12,148,1168
962,4628,22,1961,119,983
963,4629,22,1962,,696
964,4630,22,1966,,696
965,4631,4,411,97,1110
966,4652,15,2003,30,821
967,4664,76,447,15,3
968,4724,5,2822,,1257
969,4848,10,,,427
970,4849,3,,,45
971,4863,3,898,169,1147
972,4865,3,,,706
973,4888,10,2080,,1152
974,4889,10,2081,,1152
975,4911,122,353,177,1249
976,4916,93,,,1240
977,4917,25,,,1240
978,4918,32,,,1240
979,4919,189,,,1240
980,4924,12,2092,39,1247
981,4925,3,898,,1252
982,4927,1,543,,1234
983,4928,46,1598,,1236
984,4929,46,1600,,1236
985,4930,46,1601,,1236
986,4931,46,1602,,1236
987,4932,46,1603,,1236
988,4933,46,1604,,1236
989,4934,46,1605,,1236
990,4935,46,1606,,1236
991,4936,46,1607,,1236
992,4937,46,1608,,1236
993,4938,46,1609,,1236
994,4939,46,1610,,1236
995,4940,46,1611,,1236
996,4941,46,1612,,1236
997,4942,46,1599,,1236
998,4943,3,898,,1231
999,4950,15,2003,,1227
1000,4951,8,1886,162,1222
1001,4963,1,542,,1126
1002,4964,1,543,,1126
1003,4965,93,,,1117
1004,4966,11,,,1117
1005,4967,45,,,1117
1006,4968,1,,,1117
1007,4969,31,,,1117
1008,4970,8,,,1117
1009,4971,10,,,1117
1010,4972,4,,,1117
1011,4979,1,543,110,1011
1012,4995,5,,,841
1013,4996,82,,,841
1014,4997,46,,,841
1015,4998,7,,,841
1016,4999,29,90,1,837
1017,5008,8,1893,29,1251
1018,5010,1,543,,1230
1019,5011,1,542,,1230
1020,5016,1,536,,1162
1021,5017,11,221,164,1106
1022,5024,19,1511,113,1176
1023,5083,19,1511,113,869
1024,5087,12,,,880
1025,5104,9,2941,47,1185
1026,5108,33,3532,,1164
1027,5112,3,898,19,1142
1028,5120,14,1483,27,733
1029,5123,190,,,876
1030,5124,10,2080,81,1201
1031,5131,285,,,722
1032,5132,23,1382,25,728
1033,5133,10,2080,35,1190
1034,5134,10,2080,81,1190
1035,5135,10,2080,35,1233
1036,5136,10,2080,81,1233
1037,5137,10,,,1005
1038,5138,13,,,1005
1039,5144,29,,,863
1040,5145,3,,,707
1041,5146,3,,,708
1042,5147,3,,,709
1043,5148,45,,,574
1044,5149,3,,,490
1045,5150,2,,,575
1046,5151,30,3377,53,324
1047,5152,76,,,325
1048,5153,3,,,209
1049,5154,3,,,44
1050,5155,3,,,211
1051,5156,3,,,690
1052,5157,83,,,323
1053,5158,285,,,1062
1054,5161,35,,,790
1055,5232,13,3270,52,817
1056,5266,10,2080,81,1220
1057,5277,3,,,466
1058,5339,4,414,165,1113
1059,5345,5,,,1215
1060,5346,82,,,1215
1061,5347,14,,,1215
1062,5348,75,,,1215
1063,5372,15,,,963
1064,5373,13,,,963
1065,5402,285,,,48
1066,5404,15,2001,,1050
1067,5405,15,2003,,1050
1068,5406,33,3532,55,1163
1069,5407,33,3533,,1128
1070,5408,33,3532,,1128
1071,5409,33,3534,,1128
1072,5410,33,3536,,1128
1073,5411,33,3535,,1128
1074,5412,33,3537,,1128
1075,5413,33,3538,,1128
1076,5414,33,3539,,1128
1077,5415,33,3540,,1128
1078,5416,33,3541,,1128
1079,5417,33,3542,,1128
1080,5418,33,3543,,1128
1081,5419,33,3544,,1128
1082,5420,33,3545,,1128
1083,5421,33,3546,,1128
1084,5422,33,3547,,1128
1085,5423,33,3548,,1128
1086,5424,33,3549,,1128
1087,5425,33,3550,,1128
1088,5426,33,3551,,1128
1089,5427,33,3552,,1128
1090,5428,9,,,887
1091,5429,14,1461,112,819
1092,5430,1,542,,1139
1093,5431,1,543,,1139
1094,5433,14,,,1194
1095,5434,15,,,1194
1096,5435,13,,,1194
1097,5449,10,,,84
1098,5461,4,417,13,1187
1099,5462,226,2254,176,1250
1100,5463,3,898,,1259
1101,5464,3,915,,1259
1102,5465,1,540,172,1167
1103,5466,14,1460,174,1225
1104,5467,7,1140,,1280
1105,5468,285,,,989
1106,5469,3,898,,1264
1107,5470,22,,,259
1108,5471,1,542,,1200
1109,5472,1,543,,1200
1110,5473,14,1461,26,747
1111,5474,14,,,1009
1112,5475,13,,,1009
1113,5476,8,1886,,1140
1114,5477,1,543,,1256
1115,5478,285,,,614
1116,5479,22,,,874
1117,5480,21,,,874
1118,5481,57,,,874
1119,5482,10,,,1132
1120,5483,8,,,1132
1121,5484,181,1345,,1136
1122,5485,31,,,1138
1123,5486,12,,,1138
1124,5487,45,,,1138
1125,5488,19,,,558
1126,5489,285,,,611
1127,5492,3,,,464
1128,5493,3,,,463
1129,5494,3,,,465
1130,5502,18,,,586
1131,5503,89,,,586
1132,5504,14,,,1083
1133,5505,13,,,1083
1134,5506,22,,,1083
1135,5507,20,,,1083
1136,5508,23,1382,25,772
1137,5509,33,3533,,1166
1138,5510,33,3532,,1166
1139,5511,33,3534,,1166
1140,5512,33,3535,,1166
1141,5513,33,3536,,1166
1142,5514,33,3537,,1166
1143,5515,33,3538,,1166
1144,5516,33,3539,,1166
1145,5517,33,3541,,1166
1146,5518,33,3540,,1166
1147,5519,33,3542,,1166
1148,5520,33,3543,,1166
1149,5521,33,3544,,1166
1150,5522,33,3545,,1166
1151,5523,33,3546,,1166
1152,5524,33,3547,,1166
1153,5525,33,3548,,1166
1154,5526,33,3549,,1166
1155,5527,33,3551,,1166
1156,5528,33,3550,,1166
1157,5529,33,3552,,1166
1158,5533,3,,,208
1159,5536,1,541,,1135
1160,5537,1,542,,1135
1161,5538,1,537,,1135
1162,5542,8,1893,29,1246
1163,5543,8,1893,29,1335
1164,5561,3,898,19,196
1165,5582,14,1461,,1295
1166,5597,8,,,1186
1167,5598,1,,,1186
1168,5603,15,2003,,1111
1169,5604,15,2001,,1111
1170,5633,15,,,1242
1171,5634,14,,,1242
1172,5635,13,,,1242
1173,5659,1,543,,1235
1174,5665,45,,,1061
1175,5666,161,,,1061
1176,5667,8,,,1061
1177,5668,10,,,1061
1178,5669,12,,,1061
1179,5670,60,,,1061
1180,5671,285,,,855
1181,5674,13,3270,52,549
1182,5675,45,526,,1030
1183,5676,45,527,,1030
1184,5677,45,528,,1030
1185,5678,45,529,,1030
1186,5679,45,530,,1030
1187,5680,45,532,,1030
1188,5681,45,531,,1030
1189,5682,45,533,,1030
1190,5683,45,535,,1030
1191,5684,45,534,,1030
1192,5691,7,1139,,1360
1193,5714,1,541,87,1209
1194,5716,3,,,576
1195,5728,285,,,1123
1196,5735,9,2941,47,1358
1197,5743,12,2102,122,965
1198,5747,5,2820,44,1373
1199,5748,33,3550,178,1183
1200,5754,157,967,,1347
1201,5767,7,1146,21,1384
1202,5768,15,2012,,1385
1203,5769,15,2001,,1385
1204,5773,12,2104,171,1388
1205,5775,1,,,873
1206,5776,4,,,873
1207,5777,12,,,873
1208,5778,9,2941,47,613
1209,5779,93,12,148,1317
1210,5780,9,2950,,1324
1211,5781,285,,,1131
1212,5782,8,,,1165
1213,5783,33,,,1165
1214,5784,10,,,1270
1215,5785,12,,,1270
1216,5786,1,543,,1293
1217,5787,18,,,797
1218,5788,15,2020,31,705
1219,5789,161,995,104,890
1220,5790,161,995,106,959
1221,5791,6,1768,175,1245
1222,5792,9,2945,,1342
1223,5793,9,2951,,1342
1224,5796,33,3532,,1210
1225,5797,285,,,581
1226,5798,93,12,148,1141
1227,5802,12,,,1273
1228,5803,5,,,1273
1229,5804,95,,,1273
1230,5805,3,898,19,1205
1231,5807,9,2941,47,1199
1232,5809,46,1608,28,1238
1233,5810,10,,,1283
1234,5811,1,,,1283
1235,5839,5,2816,189,1390
1236,5840,45,,,864
1237,5841,14,,,1069
1238,5842,13,,,1069
1239,5843,22,,,1069
1240,5844,20,,,1069
1241,5848,285,,,1125
1242,5849,8,1893,29,1306
1243,5850,11,212,181,1307
1244,5851,10,2084,,1308
1245,5852,84,2225,,1350
1246,5853,84,2224,,1350
1247,5854,31,512,16,1223
1248,5855,15,2003,30,1115
1249,5858,81,2377,114,1024
1250,5860,10,,,1389
1251,5861,12,,,1389
1252,5862,13,,,1389
1253,5863,5,,,1389
1254,5864,16,,,1389
1255,5865,98,,,1389
1256,5883,16,978,137,1351
1257,5893,1,,,1382
1258,5894,227,2309,184,1348
1259,5898,132,545,72,1
1260,5900,13,3270,52,992
1261,5901,10,2080,35,995
1262,5902,3,,,1058
1263,5903,1,,,1058
1264,5904,10,2081,,1159
1265,5905,10,2080,,1159
1266,5906,10,2084,,1159
1267,5907,10,2079,,1159
1268,5908,10,2082,,1159
1269,5909,10,2077,,1159
1270,5910,10,2083,,1159
1271,5911,10,2078,,1159
1272,5912,13,3270,52,1218
1273,5913,10,2080,81,1219
1274,5923,13,3270,52,765
1275,5924,13,3270,52,818
1276,5926,13,3270,52,572
1277,5927,12,,,1092
1278,5928,111,,,1092
1279,5929,16,,,1092
1280,5930,60,,,1092
1281,5931,46,,,1092
1282,5932,10,2080,,686
1283,5933,10,2081,,686
1284,5935,75,,,1001
1285,5936,5,,,1001
1286,5937,4,,,1001
1287,5938,94,2710,42,1160
1288,5941,10,2080,35,725
