rownames,session_id,project_id,event_id,article_id,named_aticle_id,theme_id,sub_theme_id,user_comments,event_year,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,qyear,unit_price,unit_price_cur,unit_price_eur,total_cost,real_total_cost,real_total_cost_manual,financer_id,is_in_accounting,comments,credte,creuser_id,upddte,upduser_id,refqyear,refunit_price_eur,reftotal_cost,comptage_jours_qyear
42,1,8,@T_8_97332013,97,33,1,1,,2013,-0,-1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,830,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,1
43,1,8,@T_8_97472013,97,47,1,1,,2013,-0.5,-0.5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,830,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,1
44,1,9,@A_9_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,2.842170943040401e-14,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
45,1,9,@T_9_97392013,97,39,1,1,,2013,-5.5,-1.5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,5810,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,7
46,1,9,@T_9_9782013,97,8,1,1,,2013,-1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,830,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,1
47,1,10,@A_10_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,1199.6599999999999,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
48,1,10,@A_10_2142013,214,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,117.88,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
49,1,10,@T_10_97332013,97,33,1,1,,2013,-0,-1,-1,-1,-1,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,3320,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,4
50,1,10,@T_10_97392013,97,39,1,1,,2013,-0,-0,-2,-4,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,4980,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,6
51,1,10,@T_10_97482013,97,48,1,1,,2013,-0,-8,-18,-12,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,31540,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,38
52,1,11,@A_11_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,4837.24,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
53,1,11,@A_11_2142013,214,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,48.22,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
54,1,11,@A_11_2172013,217,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,1228.8600000000001,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
55,1,11,@T_11_97322013,97,32,1,1,,2013,-0.25,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,207.5,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,0.25
56,1,11,@T_11_97332013,97,33,1,1,,2013,-0,-0,-0,-0,-1,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,830,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,1
57,1,11,@T_11_97362013,97,36,1,1,,2013,-0,-0,-21,-21,-21,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,52290,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,63
58,1,11,@T_11_97392013,97,39,1,1,,2013,-0,-0,-0,-0,-0,-1,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,830,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,1
59,1,12,@T_12_97312014,97,31,1,1,,2014,-3,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,2490,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,3
60,1,12,@T_12_97322013,97,32,1,1,,2013,-1,-0.5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,1245,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,1.5
61,1,13,@T_13_97452013,97,45,1,1,,2013,-2,-0.5,-0,-0.5,-0.5,-0,-0,-1,-0.25,-0.25,-0,-0,,,0,EUR,0,0,4150,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,5
