rownames,session_id,collaborator_id,event_id,event_start_date,event_type,SalaireMois,ETP01,ETP02,ETP03,ETP04,ETP05,ETP06,ETP07,ETP08,ETP09,ETP10,ETP11,ETP12,ETP,Salaire13,PrimePrecarite,CongesCDD,ChargesSocialesPourcent,CoutTotalAnnuel,user_comments,comments,credte,creuser_id,upddte,upduser_id,PrecariteActive
292,11,18,0,2015-01-01,DefaultPeriod,4757.97,1,1,1,1,1,1,1,1,1,1,1,1,1,4805.55,0,0,0.608,100455.22,,,2014-12-11 ,60,2014-12-11 ,60,0
293,11,19,0,2015-01-01,DefaultPeriod,6458.45,1,1,1,1,1,1,1,1,1,1,1,1,1,6523.03,0,0,0.608,136357.5,,,2014-12-11 ,60,2014-12-11 ,60,0
294,11,20,0,2015-01-01,DefaultPeriod,4017.79,0,0,0,0,0,0,1,1,1,1,1,1,0.5,2028.98,0,0,0.608,42413.88,,,2014-12-11 ,60,2014-12-22 ,60,0
295,11,21,0,2015-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.49,0,0,0.608,92343.16,,,2014-12-11 ,60,2014-12-11 ,60,0
296,11,22,0,2015-01-01,DefaultPeriod,4373.75,0,0,0,0,0,0,0,0,0,1,1,1,0.25,1104.37,0,0,0.608,23085.78,,,2014-12-11 ,60,2014-12-11 ,60,0
297,11,23,0,2015-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.49,0,0,0.608,92343.16,,,2014-12-11 ,60,2014-12-11 ,60,0
298,11,24,0,2015-01-01,DefaultPeriod,4573.21,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.03,153.97,0,0,0.608,3218.49,,,2014-12-11 ,60,2014-12-22 ,60,0
299,11,24,0,2015-03-01,Promotion,4664.67,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,0.37,1727.48,0,0,0.608,36111.29,,,2014-12-11 ,60,2014-12-22 ,60,0
300,11,25,0,2015-01-01,DefaultPeriod,6247,1,1,1,1,1,1,1,1,1,1,1,1,1,6247,0,0,0,81211,,,2014-12-11 ,60,2014-12-24 ,60,0
301,11,26,0,2015-01-01,DefaultPeriod,4203.91,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0.73,3113.7,0,0,0.608,65088.7,,,2014-12-11 ,60,2014-12-11 ,60,0
302,11,26,0,2015-12-01,Promotion,4287.99,0,0,0,0,0,0,0,0,0,0,0,0.8,0.07,288.72,0,0,0.608,6035.5,,,2014-12-11 ,60,2014-12-11 ,60,0
303,11,28,0,2015-01-01,DefaultPeriod,3939.01,0,0,0,0,1,1,1,1,1,1,1,1,0.67,2652.27,0,0,0.608,55442.99,,,2014-12-11 ,60,2015-01-05 ,60,0
304,11,28,18,2015-01-02,Maternity,1470.21,1,1,1,1,0,0,0,0,0,0,0,0,0.33,494.97,0,0,0.608,10346.87,Congé mat du 17/12/2014 au 8/4/2015,,2015-01-05 ,60,2015-01-05 ,60,0
305,11,30,0,2015-01-01,DefaultPeriod,3861.78,1,1,1,0.5,0,0,0,0,0,0,0,0,0.29,1137.62,1478.9,1841.39,0.608,29119.75,Consultant ext,,2014-12-22 ,60,2015-01-05 ,60,1
306,11,33,0,2015-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,5659.56,0,0,0.608,118307.54,,,2014-12-11 ,60,2014-12-11 ,60,0
307,11,34,0,2015-01-01,DefaultPeriod,4287.99,0,0,0,0,0,1,1,1,1,1,1,1,0.58,2526.34,0,0,0.608,52810.63,Congé mat du 26/11/2014 au 25/5/2014,,2014-12-11 ,60,2015-01-05 ,60,0
308,11,34,19,2015-01-02,Maternity,1735.1129,1,1,1,1,1,0,0,0,0,0,0,0,0.42,730.19,0,0,0.608,15263.96,,,2015-01-05 ,60,2015-01-05 ,60,0
309,11,37,0,2015-01-01,DefaultPeriod,7893.3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,94719.6,,,2014-12-11 ,60,2014-12-24 ,60,0
310,11,38,0,2015-01-01,DefaultPeriod,4203.91,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3892.12,0,0,0.608,81360.88,,,2014-12-11 ,60,2014-12-11 ,60,0
311,11,38,0,2015-12-01,Promotion,4287.99,0,0,0,0,0,0,0,0,0,0,0,1,0.08,360.91,0,0,0.608,7544.38,,,2014-12-11 ,60,2014-12-11 ,60,0
