rownames,session_id,collaborator_id,event_id,event_start_date,event_type,SalaireMois,ETP01,ETP02,ETP03,ETP04,ETP05,ETP06,ETP07,ETP08,ETP09,ETP10,ETP11,ETP12,ETP,Salaire13,PrimePrecarite,CongesCDD,ChargesSocialesPourcent,CoutTotalAnnuel,user_comments,comments,credte,creuser_id,upddte,upduser_id,PrecariteActive
669,18,88,0,2016-01-01,DefaultPeriod,3586.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,UNITAID - coûts opérationnels,"<c author=""A-VALTAT"" mod=""5247537725454980565"">Financement UNITAID en coûts opérationnels - 823587. Dans le cube salaire à titre indicatif (ETP=0)</c>",2015-12-08 ,60,2015-12-08 ,60,1
670,18,89,0,2016-01-01,DefaultPeriod,3586.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,UNITAID - coûts opérationnels,"<c author=""A-VALTAT"" mod=""5247537726904110517"">Financement UNITAID en coûts opérationnels - 823605. Dans le cube salaire à titre indicatif (ETP=0)</c>",2015-12-08 ,60,2015-12-08 ,60,1
671,18,91,0,2016-01-01,DefaultPeriod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,UNITAID - coûts opérationnels,"<c author=""A-VALTAT"" mod=""5247537727309843874"">Financement UNITAID en coûts opérationnels - 823605. Dans le cube salaire à titre indicatif (ETP=0). </c>",2015-12-08 ,60,2015-12-08 ,60,1
672,18,95,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,1,1,1,1,1,1,1,3900.49,5070.63,6313.49,0.608,99841.41,,,2015-12-08 ,60,2015-12-08 ,60,1
673,18,101,0,2016-01-01,DefaultPeriod,4596.07,1,1,1,1,1,1,1,1,1,0,0,0,0.75,3458.54,4496.11,5598.15,0.608,88528.94,,,2015-12-08 ,60,2015-12-08 ,60,1
674,18,102,0,2016-01-01,DefaultPeriod,5114.58,1,1,1,1,1,1,1,1,1,1,1,1,1,5140.15,0,0,0.608,107449.74,,,2015-12-08 ,60,2015-12-08 ,60,0
675,18,106,0,2016-04-04,DefaultPeriod,3400.78,0,0,0,1,1,1,1,0,0,0,0,0,0.33,1136.43,1477.36,1839.47,0.608,29089.35,,,2015-12-08 ,60,2015-12-08 ,60,1
676,18,107,0,2016-01-01,DefaultPeriod,1136.87,1,1,1,1,1,1,1,1,1,1,1,1,1,1136.87,0,0,0.4,20691.03,Salaire : hypothèse max  78%SMIC,,2015-12-08 ,60,2015-12-08 ,60,0
677,18,108,0,2016-01-01,DefaultPeriod,1136.87,0,0,0,0,0,0,0,0,1,1,1,1,0.33,378.96,0,0,0.4,6897.02,Salaire : hypothèse max  78%SMIC,"<c author=""A-VALTAT"" mod=""5247537715387680044"">Remplacement Nedjma à partir de septembre 2016</c>",2015-12-08 ,60,2015-12-08 ,60,0
678,18,109,0,2016-01-01,DefaultPeriod,3586.35,1,1,1,1,1,1,1,1,1,1,1,1,1,3604.28,4685.57,5834.05,0.608,92259.45,,,2015-12-08 ,60,2015-12-08 ,60,1
679,20,1,0,2016-01-01,DefaultPeriod,3204,1,1,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.35,12976.2,ok,,2016-04-13 ,60,2016-04-13 ,60,0
680,20,2,0,2016-01-01,DefaultPeriod,3881.08,0.25,0.25,0.25,0.25,0.25,1,1,1,1,1,1,1,0.69,2687.65,3493.94,4350.34,0.608,68796.19,ok,,2016-04-13 ,60,2016-04-13 ,60,1
681,20,3,0,2016-01-01,DefaultPeriod,4224.92,1,1,1,0,0,0,0,0,0,1,1,1,0.5,2123.02,0,0,0.608,44379.66,ok,,2016-04-13 ,60,2016-04-13 ,60,0
682,20,4,0,2016-01-01,DefaultPeriod,4687.99,1,1,1,1,1,1,1,1,1,1,1,1,1,4711.43,0,0,0.608,98487.73,ok,,2016-04-13 ,60,2016-04-13 ,60,0
683,20,7,0,2016-01-01,DefaultPeriod,7550,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.16,105096,ok,,2016-04-13 ,60,2016-04-13 ,60,0
684,20,9,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,ok,,2016-04-13 ,60,2016-04-13 ,60,0
685,20,10,0,2016-01-01,DefaultPeriod,3958.7,1,1,1,1,1,1,1,1,1,1,1,1,1,3978.49,0,0,0.608,83166.42,ok,,2016-04-13 ,60,2016-04-13 ,60,0
686,20,11,0,2016-01-01,DefaultPeriod,4596.07,1,1,1,1,1,1,1,1,1,1,1,1,1,4619.05,0,0,0.608,96556.62,ok,,2016-04-13 ,60,2016-04-13 ,60,0
687,20,12,0,2016-01-01,DefaultPeriod,13416.67,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,161000.04,ok,,2016-04-13 ,60,2016-04-13 ,60,0
688,20,16,0,2016-01-01,DefaultPeriod,2943.92,1,1,1,1,1,1,1,1,1,1,1,1,1,2958.64,0,0,0.608,61847.41,ok,,2016-04-13 ,60,2016-04-13 ,60,0
689,20,17,0,2016-01-01,DefaultPeriod,4309.42,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3968.26,0,0,0.608,82952.46,ok,,2016-04-13 ,60,2016-04-13 ,60,0
690,20,17,0,2016-12-01,Promotion,4395.61,0,0,0,0,0,0,0,0,0,0,0,1,0.08,369.96,0,0,0.608,7733.72,ok,,2016-04-13 ,60,2016-04-13 ,60,0
691,20,18,0,2016-01-01,DefaultPeriod,4781.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4805.66,0,0,0.608,100457.48,ok,,2016-04-13 ,60,2016-04-13 ,60,0
692,20,19,0,2016-01-01,DefaultPeriod,6490.74,1,1,1,1,1,1,1,1,1,1,1,1,1,6523.19,0,0,0.608,136360.83,ok,,2016-04-13 ,60,2016-04-13 ,60,0
693,20,20,0,2016-01-01,DefaultPeriod,4037.87,1,0,0,0,0,0,0,0,0,0,0,0,0.08,336.49,0,0,0.608,7033.97,ok,,2016-04-13 ,60,2016-04-13 ,60,0
694,20,21,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,ok,,2016-04-13 ,60,2016-04-13 ,60,0
695,20,22,0,2016-01-01,DefaultPeriod,4395.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-13 ,60,2016-04-13 ,60,0
696,20,23,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,ok,,2016-04-13 ,60,2016-04-13 ,60,0
697,20,24,0,2016-01-01,DefaultPeriod,6531,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1306.2,0,0,0.16,19697.5,ok,,2016-04-13 ,60,2016-04-13 ,60,0
698,20,25,0,2016-01-01,DefaultPeriod,4552,0,0,0,0,0,0,1,1,1,1,1,1,0.5,2276,0,0,0.608,47577.5,ok,,2016-04-13 ,60,2016-04-13 ,60,0
699,20,26,0,2016-01-01,DefaultPeriod,4309.42,1,1,1,1,1,1,1,1,1,1,1,1,1,4330.97,0,0,0.608,90534.55,ok,,2016-04-13 ,60,2016-04-13 ,60,0
700,20,28,0,2016-01-01,DefaultPeriod,3958.7,1,1,1,1,1,1,1,1,1,1,1,1,1,3978.49,0,0,0.608,83166.42,ok,,2016-04-13 ,60,2016-04-13 ,60,0
701,20,30,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,0,0,0,0,0,0,0.5,1940.54,2522.7,3141.04,0.608,49672.34,ok,,2016-04-13 ,60,2016-04-13 ,60,1
702,20,30,0,2016-07-15,Promotion,3958.7,0,0,0,0,0,0,1,1,1,1,1,1,0.5,1999.14,2598.89,3235.9,0.608,51172.43,ok,,2016-04-13 ,60,2016-04-13 ,60,1
703,20,33,0,2016-01-01,DefaultPeriod,6006.99,1,1,1,1,1,1,1,1,1,1,1,1,1,6037.03,0,0,0.608,126197.98,ok,,2016-04-13 ,60,2016-04-13 ,60,0
704,20,34,0,2016-01-01,DefaultPeriod,4309.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-13 ,60,2016-04-13 ,60,0
705,20,37,0,2016-01-01,DefaultPeriod,7550,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.16,105096,ok,,2016-04-13 ,60,2016-04-13 ,60,0
706,20,38,0,2016-01-01,DefaultPeriod,4309.42,1,1,1,1,1,1,1,1,1,1,1,1,1,4330.97,0,0,0.608,90534.55,ok,,2016-04-13 ,60,2016-04-13 ,60,0
707,20,39,0,2016-01-01,DefaultPeriod,4224.92,1,1,1,1,1,1,1,1,1,1,1,1,1,4246.05,0,0,0.608,88759.33,ok,,2016-04-13 ,60,2016-04-13 ,60,0
708,20,42,0,2016-01-01,DefaultPeriod,6006.99,1,1,1,1,1,1,1,1,1,1,1,1,1,6037.03,0,0,0.608,126197.98,ok,,2016-04-13 ,60,2016-04-13 ,60,0
709,20,43,0,2016-01-01,DefaultPeriod,4037.87,1,1,1,1,1,1,1,1,1,1,1,1,1,4058.06,0,0,0.608,84829.67,ok,,2016-04-13 ,60,2016-04-13 ,60,0
710,20,44,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,ok,,2016-04-13 ,60,2016-04-13 ,60,0
711,20,45,0,2016-01-01,DefaultPeriod,4037.87,1,1,1,1,1,1,1,1,1,1,1,1,1,4058.06,0,0,0.608,84829.67,ok,,2016-04-13 ,60,2016-04-13 ,60,0
712,20,46,0,2016-01-01,DefaultPeriod,4687.99,1,1,1,1,1,1,1,1,1,1,1,1,1,4711.43,0,0,0.608,98487.73,ok,,2016-04-13 ,60,2016-04-13 ,60,0
713,20,47,0,2016-01-01,DefaultPeriod,4037.87,1,1,1,1,1,1,1,1,1,1,1,1,1,4058.06,0,0,0.608,84829.67,ok,,2016-04-13 ,60,2016-04-13 ,60,0
714,20,48,0,2016-01-01,DefaultPeriod,3958.7,1,1,1,1,1,1,1,1,1,1,1,1,1,3978.49,0,0,0.608,83166.42,ok,,2016-04-13 ,60,2016-04-13 ,60,0
715,20,49,0,2016-01-01,DefaultPeriod,4224.92,1,1,1,1,1,1,1,0,0,0,0,0,0.58,2468.06,0,0,0.608,51592.28,ok,,2016-04-13 ,60,2016-04-13 ,60,0
716,20,49,0,2016-08-01,Promotion,4309.42,0,0,0,0,0,0,0,1,1,1,1,1,0.42,1813.55,0,0,0.608,37910.4,ok,,2016-04-13 ,60,2016-04-13 ,60,0
717,20,50,0,2016-01-01,DefaultPeriod,3756,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3443,4475.9,5572.99,0.56,85500.31,ok salaire 12 mois,,2016-04-13 ,60,2016-04-13 ,60,1
718,20,53,0,2016-01-01,DefaultPeriod,4329.5,1,1,1,1,1,1,1,1,1,1,1,1,1,4351.15,0,0,0.608,90956.39,ok,,2016-04-13 ,60,2016-04-13 ,60,0
719,20,54,0,2016-01-01,DefaultPeriod,3534.16,1,0,0,0,0,0,0,0,0,0,0,0,0.08,294.51,0,0,0.608,6156.5,ok,,2016-04-13 ,60,2016-04-13 ,60,0
720,20,54,0,2016-02-20,Promotion,3742.26,0,1,1,1,1,1,1,1,1,1,1,1,0.92,3449.12,0,0,0.608,72100.34,ok,,2016-04-13 ,60,2016-04-13 ,60,0
721,20,55,0,2016-01-01,DefaultPeriod,4538.88,1,1,1,1,1,1,1,1,1,1,1,1,1,4561.57,0,0,0.608,95355.14,ok,,2016-04-13 ,60,2016-04-13 ,60,0
722,20,56,0,2016-01-01,DefaultPeriod,2740.69,1,1,1,1,1,1,1,1,1,1,1,1,1,2754.39,0,0,0.608,57577.83,ok,,2016-04-13 ,60,2016-04-13 ,60,0
723,20,57,0,2016-01-01,DefaultPeriod,3191.53,1,1,1,1,1,1,1,1,1,1,1,1,1,3207.49,0,0,0.608,67049.32,ok,,2016-04-13 ,60,2016-04-13 ,60,0
724,20,58,0,2016-01-01,DefaultPeriod,3540.09,1,1,1,1,1,1,1,1,1,1,1,1,1,3557.79,0,0,0.608,74372.06,ok,,2016-04-13 ,60,2016-04-13 ,60,0
725,20,59,0,2016-01-01,DefaultPeriod,7314,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9508.2,11838.76,0.16,126573.35,ok,,2016-04-13 ,60,2016-04-13 ,60,1
726,20,61,0,2016-01-01,DefaultPeriod,2560.83,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,49660.84,ok,,2016-04-13 ,60,2016-04-13 ,60,0
727,20,62,0,2016-01-01,DefaultPeriod,2740.69,1,1,1,1,1,1,1,1,1,1,1,1,1,2754.39,0,0,0.608,57577.83,ok,,2016-04-13 ,60,2016-04-13 ,60,0
728,20,63,0,2016-01-01,DefaultPeriod,2740.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-13 ,60,2016-04-13 ,60,0
729,20,63,0,2016-01-02,Sick,1439.848,1,1,1,1,1,1,1,1,1,1,1,1,1,1447.05,0,0,0.608,30249.08,ok,,2016-04-13 ,60,2016-04-13 ,60,0
730,20,71,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,1,1,1,0,0,0,0.75,2920.51,3796.67,4727.27,0.608,74756.88,ok,,2016-04-13 ,60,2016-04-13 ,60,1
731,20,72,0,2016-01-01,DefaultPeriod,3881.08,0,0,0,0,1,1,1,1,1,1,1,0.5,0.63,2443.46,3176.5,3955.1,0.608,62545.76,,,2016-04-13 ,60,2016-04-14 ,60,1
732,20,73,0,2016-01-01,DefaultPeriod,3881.08,0,0,0,0,1,1,1,1,1,1,1,0.5,0.63,2443.46,3176.5,3955.1,0.608,62545.76,,,2016-04-13 ,60,2016-04-14 ,60,1
733,20,75,0,2016-01-04,DefaultPeriod,2565.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-13 ,60,2016-04-13 ,60,1
734,20,76,0,2016-01-01,DefaultPeriod,1457,1,1,1,1,1,1,1,0,0,0,0,0,0.58,849.92,0,0,0.38,15247.51,ok,,2016-04-13 ,60,2016-04-13 ,60,0
735,20,79,0,2016-01-01,DefaultPeriod,3586.35,1,1,1,1,0,0,0,0,0,0,0,0,0.33,1195.45,1554.09,1935.01,0.608,30600.16,ok,,2016-04-13 ,60,2016-04-13 ,60,1
736,20,79,0,2016-10-14,Promotion,3658.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-13 ,60,2016-04-13 ,60,1
737,20,80,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,1,1,1,1,1,1,1,3900.49,5070.63,6313.49,0.608,99841.41,ok,,2016-04-13 ,60,2016-04-13 ,60,1
738,20,81,0,2016-01-01,DefaultPeriod,3881.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2016-04-13 ,60,2016-04-13 ,60,1
739,20,83,0,2016-01-20,DefaultPeriod,3586.35,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0.17,597.73,777.04,967.5,0.608,15300.07,ok,,2016-04-13 ,60,2016-04-13 ,60,1
740,20,88,0,2016-01-01,DefaultPeriod,3586.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,coûts opérationnels (UNITAID),,2016-04-13 ,60,2016-04-13 ,60,1
741,20,89,0,2016-01-01,DefaultPeriod,3586.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-13 ,60,2016-04-13 ,60,1
742,20,91,0,2016-01-01,DefaultPeriod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,coûts opérationnels (UNITAID),,2016-04-13 ,60,2016-04-13 ,60,1
743,20,93,0,2016-01-01,DefaultPeriod,4564,1,1,1,1,1,1,1,1,1,1,1,1,1,4564,5933.2,7387.49,0,72652.69,ok (contrat expat car en cours d'impatriation,,2016-04-13 ,60,2016-04-13 ,60,1
744,20,95,0,2016-01-01,DefaultPeriod,3881.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2016-04-13 ,60,2016-04-13 ,60,1
745,20,101,0,2016-01-01,DefaultPeriod,4596.07,1,1,1,1,1,1,1,1,1,1,1,1,1,4619.05,6004.76,7476.59,0.608,118234.63,ok,,2016-04-13 ,60,2016-04-13 ,60,1
746,20,102,0,2016-01-01,DefaultPeriod,5114.58,1,1,1,1,1,1,1,1,1,1,1,1,1,5140.15,0,0,0.608,107449.74,ok,,2016-04-13 ,60,2016-04-13 ,60,0
747,20,103,0,2016-03-27,DefaultPeriod,3586.35,0,0,1,1,0,0,0,0,0,0,0,0,0.17,597.73,777.04,967.5,0.608,15300.07,ok,,2016-04-13 ,60,2016-04-13 ,60,1
748,20,106,0,2016-04-04,DefaultPeriod,3400.78,0,0,0,0,0,0,0,0,0,1,1,0,0.17,572.47,744.2,926.62,0.608,14653.49,ok,,2016-04-13 ,60,2016-04-13 ,60,1
749,20,107,0,2016-01-01,DefaultPeriod,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,ok,,2016-04-13 ,60,2016-04-13 ,60,0
750,20,108,0,2016-01-01,DefaultPeriod,2560,0,0,0,0,0,0,1,1,1,1,1,1,0.5,1280,0,0,0.608,26757.12,ok,,2016-04-13 ,60,2016-04-13 ,60,0
751,20,109,0,2016-01-01,DefaultPeriod,3586.35,1,1,1,1,1,1,1,1,1,1,1,1,1,3604.28,4685.57,5834.05,0.608,92259.45,ok,,2016-04-13 ,60,2016-04-13 ,60,1
752,20,110,0,2016-02-01,DefaultPeriod,3400.78,0,0,0,0,1,1,1,1,1,1,1,1,0.67,2284.19,2969.45,3697.29,0.608,58468.84,ok,,2016-04-13 ,60,2016-04-13 ,60,1
753,20,111,0,2016-01-11,DefaultPeriod,3586.35,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0.35,1255.22,0,0,0.608,26239.17,ok,,2016-04-13 ,60,2016-04-13 ,60,0
754,20,112,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,1,1,0,0,0,0,0.67,0,3372.01,4198.53,0.608,62224.45,ok,,2016-04-13 ,60,2016-04-13 ,60,1
755,20,113,0,2016-05-01,DefaultPeriod,3881.08,0,0,0,0,1,1,1,1,1,1,0,0,0.5,1953.48,2539.52,3161.98,0.608,50003.49,ok,,2016-04-13 ,60,2016-04-13 ,60,1
756,20,114,0,2016-05-02,DefaultPeriod,3881.08,0,0,0,0,1,1,1,1,1,1,1,1,0.67,2606.79,3388.83,4219.47,0.608,66726.52,ok,,2016-04-13 ,60,2016-04-13 ,60,1
757,20,115,0,2016-03-01,DefaultPeriod,3586.35,0,0,1,1,1,0,0,0,0,0,0,0,0.25,896.59,1165.56,1451.26,0.608,22950.12,ok,,2016-04-13 ,60,2016-04-13 ,60,1
758,20,116,0,2016-04-05,DefaultPeriod,3881.08,0,0,0,1,1,0,0,0,0,0,0,0,0.17,646.85,840.9,1047.01,0.608,16557.45,ok,,2016-04-13 ,60,2016-04-13 ,60,1
759,20,117,0,2016-01-01,DefaultPeriod,2565.72,1,1,1,1,1,1,1,1,1,1,1,1,1,2578.55,3352.11,4173.75,0.608,66003.56,ok,,2016-04-13 ,60,2016-04-13 ,60,1
760,20,118,0,2016-01-25,DefaultPeriod,3000,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0.08,0,325,404.66,0.608,5997.29,avoir avec nathalie,,2016-04-13 ,60,2016-04-13 ,60,1
761,20,119,0,2016-02-24,DefaultPeriod,2565.72,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1289.27,1676.06,2086.87,0.608,33001.77,ok,,2016-04-13 ,60,2016-04-13 ,60,1
762,20,120,0,2016-04-01,DefaultPeriod,3586.35,0,0,0,1,1,1,1,1,0,0,0,0,0.42,1500.29,1950.38,2428.43,0.608,38403.19,ok,,2016-04-13 ,60,2016-04-13 ,60,1
763,20,121,0,2016-06-01,DefaultPeriod,2397.6,0,0,0,0,0,1,1,1,1,1,1,1,0.58,0,0,0,0.608,27218.71,ok,,2016-04-13 ,60,2016-04-13 ,60,0
764,20,122,0,2016-05-03,DefaultPeriod,3933.47,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,1,1,0.57,2246.01,2919.82,3635.49,0.608,57491.56,ok,,2016-04-13 ,60,2016-04-13 ,60,1
765,22,1,0,2016-01-01,DefaultPeriod,4223,1,1,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,12669,ok salaire facture janv/fev 2016,,2016-07-05 ,60,2016-07-05 ,60,0
766,22,2,0,2016-01-01,DefaultPeriod,3881.08,0.5,0.25,0.25,1,1,1,1,1,1,1,1,1,0.83,3253.64,0,0,0.608,68014.06,ok,,2016-07-05 ,60,2016-07-06 ,60,0
767,22,3,0,2016-01-01,DefaultPeriod,4224.92,1,1,1,0,0,0,0,0,0,1,1,1,0.5,2123.02,0,0,0.608,44379.66,ok,,2016-07-05 ,60,2016-07-06 ,60,0
768,22,4,0,2016-01-01,DefaultPeriod,4687.99,1,1,1,1,1,1,1,1,1,1,1,1,1,4711.43,0,0,0.608,98487.73,ok,,2016-07-05 ,60,2016-07-11 ,60,0
769,22,7,0,2016-01-01,DefaultPeriod,8913,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,106956,ok,,2016-07-05 ,60,2016-07-11 ,60,0
770,22,9,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,oj,,2016-07-05 ,60,2016-07-11 ,60,0
771,22,10,0,2016-01-01,DefaultPeriod,3958.7,1,1,1,1,1,1,1,1,1,1,1,1,1,3978.49,0,0,0.608,83166.42,ok,,2016-07-05 ,60,2016-07-06 ,60,0
772,22,11,0,2016-01-01,DefaultPeriod,4596.07,1,1,1,1,1,1,1,1,1,1,1,1,1,4619.05,0,0,0.608,96556.62,ok,,2016-07-05 ,60,2016-07-06 ,60,0
773,22,12,0,2016-01-01,DefaultPeriod,13416.67,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,161000.04,base 2015,,2016-07-05 ,60,2016-07-06 ,60,0
774,22,16,0,2016-01-01,DefaultPeriod,2943.92,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,2355.14,0,0,0.608,49231.77,ok,,2016-07-05 ,60,2016-07-12 ,60,0
775,22,17,0,2016-01-01,DefaultPeriod,4309.42,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3968.26,0,0,0.608,82952.46,ok,,2016-07-05 ,60,2016-07-06 ,60,0
776,22,17,0,2016-12-01,Promotion,4395.61,0,0,0,0,0,0,0,0,0,0,0,1,0.08,369.96,0,0,0.608,7733.72,ok,,2016-07-05 ,60,2016-07-06 ,60,0
777,22,18,0,2016-01-01,DefaultPeriod,4781.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4805.66,0,0,0.608,100457.48,ok,,2016-07-05 ,60,2016-07-05 ,60,0
778,22,19,0,2016-01-01,DefaultPeriod,6490.74,1,1,1,1,1,1,1,1,1,1,1,1,1,6523.19,0,0,0.608,136360.83,ok,,2016-07-05 ,60,2016-07-05 ,60,0
779,22,20,0,2016-01-01,DefaultPeriod,4037.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-07-05 ,60,2016-07-05 ,60,0
780,22,21,0,2016-01-01,DefaultPeriod,4596.07,1,1,1,1,1,1,1,1,1,1,1,1,1,4619.05,0,0,0.608,96556.62,ok,,2016-07-05 ,60,2016-07-06 ,60,0
781,22,22,0,2016-01-01,DefaultPeriod,4395.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-07-05 ,60,2016-07-05 ,60,0
782,22,23,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,ok,,2016-07-05 ,60,2016-07-05 ,60,0
783,22,24,0,2016-01-01,DefaultPeriod,5300,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,0.4,2120,0,0,0.608,44316.48,ok voir commentaire,"<c author=""A-VALTAT"" mod=""5247720058874006953"">Jusqu'à septembre salaire epicentre paris à 20% puis à partir de oct 100% salaire suisse :  soit : janv à sept=1833*9+1833*9/12 (QP 13e mois)           oct-déc= 9 000*3 EUR coût total 2016 =44 872 EUR</c>",2016-07-05 ,60,2016-07-06 ,60,0
784,22,25,0,2016-01-01,DefaultPeriod,6240,0,0,0,0,0,0,1,1,1,1,1,1,0.5,3120,0,0,0,40560,ok,,2016-07-05 ,60,2016-07-11 ,60,0
785,22,26,0,2016-01-01,DefaultPeriod,4309.42,1,1,1,1,1,1,1,1,1,1,1,1,1,4330.97,0,0,0.608,90534.55,ok,,2016-07-05 ,60,2016-07-05 ,60,0
786,22,28,0,2016-01-01,DefaultPeriod,3958.7,1,1,1,1,1,1,1,1,1,1,1,1,1,3978.49,0,0,0.608,83166.42,ok,,2016-07-05 ,60,2016-07-05 ,60,0
787,22,30,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,0,0,0,0,0,0,0.5,1940.54,2522.7,3141.04,0.608,49672.34,ok,,2016-07-05 ,60,2016-07-06 ,60,1
788,22,30,0,2016-07-15,Promotion,3958.7,0,0,0,0,0,0,1,1,1,1,1,1,0.5,1999.14,2598.89,3235.9,0.608,51172.43,ok,,2016-07-05 ,60,2016-07-06 ,60,1
789,22,33,0,2016-01-01,DefaultPeriod,6304.22,1,1,1,1,1,1,1,1,1,1,1,1,1,6304.22,0,0,0.608,131783.41,ok,,2016-07-05 ,60,2016-07-25 ,60,0
790,22,34,0,2016-01-01,DefaultPeriod,4309.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-07-05 ,60,2016-07-05 ,60,0
791,22,37,0,2016-01-01,DefaultPeriod,8913,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,106956,ok facture salaire T1 2016,,2016-07-05 ,60,2016-07-05 ,60,0
792,22,38,0,2016-01-01,DefaultPeriod,4309.42,1,1,1,1,1,1,1,1,1,1,1,1,1,4330.97,0,0,0.608,90534.55,ok,,2016-07-05 ,60,2016-07-05 ,60,0
793,22,39,0,2016-01-01,DefaultPeriod,4224.92,1,1,1,1,1,1,1,1,1,1,1,1,1,4246.05,0,0,0.608,88759.33,ok,,2016-07-05 ,60,2016-07-06 ,60,0
794,22,42,0,2016-01-01,DefaultPeriod,6304.22,1,1,1,1,1,1,1,1,1,1,1,1,1,6304.22,0,0,0.608,131783.41,ok,,2016-07-05 ,60,2016-07-12 ,60,0
795,22,43,0,2016-01-01,DefaultPeriod,4037.87,1,1,1,1,1,1,1,1,1,1,1,1,1,4058.06,0,0,0.608,84829.67,ok,,2016-07-05 ,60,2016-07-05 ,60,0
796,22,44,0,2016-01-01,DefaultPeriod,4596.07,1,1,1,1,1,1,1,1,1,1,1,1,1,4619.05,0,0,0.608,96556.62,ok,,2016-07-05 ,60,2016-07-05 ,60,0
797,22,45,0,2016-01-01,DefaultPeriod,4037.87,1,1,1,1,1,1,1,1,1,1,1,1,1,4058.06,0,0,0.608,84829.67,ok,,2016-07-05 ,60,2016-07-05 ,60,0
