rownames,macro_budget_id,year,amount,comment,project_id,accounting_amount
949,40697804,2018,114736.73,,812,114736.73
950,40697818,2017,14341.25,,534,14341.25
951,40697819,2015,15263.77,,534,15263.77
952,40697820,2016,8828.82,,534,8828.82
953,40697821,2017,0,,795,0
954,40697861,2018,0,,846,0
955,40697875,2017,186.8,,726,186.8
956,40697876,2018,0,,726,0
957,40697880,2017,1534.84,,775,1534.84
958,40697881,2017,11766.78,,789,11766.78
959,40697882,2018,22188.73,,789,22188.73
960,40697900,2018,2111.88,,740,2111.88
961,40697901,2017,0,,740,0
962,40697902,2017,0,,689,0
963,40697903,2018,0,,689,0
964,40697921,2018,702.84,,803,702.84
965,40697940,2017,0,,657,0
966,40697941,2018,664.49,,657,664.49
967,40697947,2017,0,,809,0
968,40697948,2018,0,,809,0
969,40697949,2014,17531,,222,17531
970,40697950,2013,9545,,222,9545
971,40697951,2018,1225.41,,222,1225.41
972,40697952,2017,4115.77,,763,4115.77
973,40697953,2018,2691.18,,763,2691.18
974,40697954,2018,3188.97,,866,3188.97
975,40697955,2017,3250,,629,3250
976,40697956,2016,6669.59,,629,6669.59
977,40697974,2017,0,,649,0
978,40697975,2018,0,,649,0
979,40697976,2017,631.35,,680,631.35
980,40697977,2018,0,,680,0
981,40697978,2017,0,,749,0
982,40697979,2018,9450,,749,9450
983,40697996,2017,2883.05,,743,2883.05
984,40697997,2018,491.8,,743,491.8
985,40698013,2018,3981.64,,786,3981.64
986,40698014,2017,0,,792,0
987,40698015,2018,69.01,,792,69.01
988,40698034,2017,22288.29,,641,22288.29
989,40698035,2016,5622.62,,641,5622.62
990,40698036,2018,1929.84,,641,1929.84
991,40698043,2018,3497.27,,950,3497.27
992,40698052,2015,160774.84,,94,160774.84
993,40698053,2017,10020.89,,94,10020.89
994,40698054,2013,35084.2,,94,35084.2
995,40698055,2016,-44221.08,,94,-44221.08
996,40698056,2018,2890.3,,94,2890.3
997,40698057,2014,53830.21,,94,53830.21
998,40698080,2018,0,,850,0
999,40698094,2017,52662.02,,672,52662.02
1000,40698095,2016,22356.66,,672,22356.66
1001,40698096,2018,2082.94,,672,2082.94
1002,40698097,2015,11354.79,,363,11354.79
1003,40698098,2017,7645.96,,363,7645.96
1004,40698099,2016,56076.2,,363,56076.2
1005,40698100,2018,-0.37,,363,-0.37
1006,40698101,2018,67385.5,,810,67385.5
1007,40698105,2018,2741.24,,123,2741.24
1008,40698106,2013,133747.79,,123,133747.79
1009,40698107,2015,16340.27,,123,16340.27
1010,40698108,2017,6587.9,,123,6587.9
1011,40698109,2014,42597.92,,123,42597.92
1012,40698110,2016,2944.83,,123,2944.83
1013,40698134,2018,0,,844,0
1014,40698140,2018,11632.09,,867,11632.09
1015,40698141,2018,0,,893,0
1016,40698143,2018,7.62,,675,7.62
1017,40698144,2016,1541679.76,,675,1541679.76
1018,40698151,2018,0,,824,0
1019,40698162,2017,24051.37,,744,24051.37
1020,40698163,2018,14517.34,,744,14517.34
1021,40698189,2017,27,,784,27
1022,40698190,2018,1215.4,,784,1215.4
1023,40698268,2018,0,,655,0
1024,40698269,2017,3545.01,,655,3545.01
1025,40698270,2016,9479.14,,655,9479.14
1026,40698271,2017,13406.96,,678,13406.96
1027,40698272,2016,8238.48,,678,8238.48
1028,40698273,2018,6329.58,,678,6329.58
1029,40698286,2018,29.2,,884,29.2
1030,40698294,2017,0,,778,0
1031,40698615,2018,10435.95,,585,10435.95
1032,40698616,2017,8114.4,,585,8114.4
1033,40698629,2017,9098.59,,734,9098.59
